full_text,text_clean,token,stop,stemmed,untokenize_clean,label
malam ini. Semangat dukungan untuk capres favoritku  Prabowo Gibran! 💪 🇮 🇩,malam ini semangat dukungan untuk capres favoritku prabowo gibran,"['malam', 'ini', 'semangat', 'dukungan', 'untuk', 'capres', 'favoritku', 'prabowo', 'gibran']","['malam', 'semangat', 'dukungan', 'capres', 'favoritku', 'prabowo', 'gibran']","['malam', 'semangat', 'dukung', 'capres', 'favorit', 'prabowo', 'gibran']",malam semangat dukung capres favorit prabowo gibran,positif
Wah serius tanpa Gibran debat ini jadi hambar https://t.co/32Zi58GI7j,wah serius tanpa gibran debat ini jadi hambar,"['wah', 'serius', 'tanpa', 'gibran', 'debat', 'ini', 'jadi', 'hambar']","['wah', 'serius', 'gibran', 'debat', 'jadi', 'hambar']","['wah', 'serius', 'gibran', 'debat', 'jadi', 'hambar']",wah serius gibran debat jadi hambar,positif
Gibran kurang memiliki pengalaman politik @afifuddin_ala Belimbing Sayur https://t.co/7IoTF6jm3d,gibran kurang memiliki pengalaman politik belimbing sayur,"['gibran', 'kurang', 'memiliki', 'pengalaman', 'politik', 'belimbing', 'sayur']","['gibran', 'kurang', 'memiliki', 'pengalaman', 'politik', 'belimbing', 'sayur']","['gibran', 'kurang', 'milik', 'alam', 'politik', 'belimbing', 'sayur']",gibran kurang milik alam politik belimbing sayur,negatif
Keputusan dan tindakan Ganjar selalu berpijak pada kebutuhan masyarakat  tidak seperti Gibran yang terlalu fokus pada upaya mencari popularitas. @tosx_santos  https://t.co/S0xP58QeD9,keputusan dan tindakan ganjar selalu berpijak pada kebutuhan masyarakat tidak seperti gibran yang terlalu fokus pada upaya mencari popularitas,"['keputusan', 'dan', 'tindakan', 'ganjar', 'selalu', 'berpijak', 'pada', 'kebutuhan', 'masyarakat', 'tidak', 'seperti', 'gibran', 'yang', 'terlalu', 'fokus', 'pada', 'upaya', 'mencari', 'popularitas']","['keputusan', 'tindakan', 'ganjar', 'selalu', 'berpijak', 'kebutuhan', 'masyarakat', 'gibran', 'terlalu', 'fokus', 'upaya', 'mencari', 'popularitas']","['putus', 'tindak', 'ganjar', 'selalu', 'pijak', 'butuh', 'masyarakat', 'gibran', 'terlalu', 'fokus', 'upaya', 'cari', 'popularitas']",putus tindak ganjar selalu pijak butuh masyarakat gibran terlalu fokus upaya cari popularitas,negatif
Bersama Prabowo-Gibran  mantan pemimpin desa optimis pada masa depan yang penuh harapan. https://t.co/3NFwywsfyN,bersama prabowogibran mantan pemimpin desa optimis pada masa depan yang penuh harapan,"['bersama', 'prabowogibran', 'mantan', 'pemimpin', 'desa', 'optimis', 'pada', 'masa', 'depan', 'yang', 'penuh', 'harapan']","['bersama', 'prabowogibran', 'mantan', 'pemimpin', 'desa', 'optimis', 'masa', 'depan', 'penuh', 'harapan']","['sama', 'prabowogibran', 'mantan', 'pimpin', 'desa', 'optimis', 'masa', 'depan', 'penuh', 'harap']",sama prabowogibran mantan pimpin desa optimis masa depan penuh harap,positif
Ganjar selalu memahami kebutuhan rakyatnya  terbukti dengan solusi konkretnya terhadap masalah stunting. Sedangkan Gibran  sebanyak apapun blunder yang dia lakukan  tetap tidak ada kontribusi positif untuk masyarakat. @jtapart https://t.co/FQY55hcJ0g,ganjar selalu memahami kebutuhan rakyatnya terbukti dengan solusi konkretnya terhadap masalah stunting sedangkan gibran sebanyak apapun blunder yang dia lakukan tetap tidak ada kontribusi positif untuk masyarakat,"['ganjar', 'selalu', 'memahami', 'kebutuhan', 'rakyatnya', 'terbukti', 'dengan', 'solusi', 'konkretnya', 'terhadap', 'masalah', 'stunting', 'sedangkan', 'gibran', 'sebanyak', 'apapun', 'blunder', 'yang', 'dia', 'lakukan', 'tetap', 'tidak', 'ada', 'kontribusi', 'positif', 'untuk', 'masyarakat']","['ganjar', 'selalu', 'memahami', 'kebutuhan', 'rakyatnya', 'terbukti', 'solusi', 'konkretnya', 'masalah', 'stunting', 'gibran', 'sebanyak', 'apapun', 'blunder', 'lakukan', 'tetap', 'kontribusi', 'positif', 'masyarakat']","['ganjar', 'selalu', 'paham', 'butuh', 'rakyat', 'bukti', 'solusi', 'konkret', 'masalah', 'stunting', 'gibran', 'banyak', 'apa', 'blunder', 'laku', 'tetap', 'kontribusi', 'positif', 'masyarakat']",ganjar selalu paham butuh rakyat bukti solusi konkret masalah stunting gibran banyak apa blunder laku tetap kontribusi positif masyarakat,negatif
Dukungan masyarakat DKI terhadap Prabowo dan Gibran adalah bukti solidaritas untuk membangun Jakarta yang lebih baik. @putrosapto  https://t.co/gVhFUJdaXm,dukungan masyarakat dki terhadap prabowo dan gibran adalah bukti solidaritas untuk membangun jakarta yang lebih baik,"['dukungan', 'masyarakat', 'dki', 'terhadap', 'prabowo', 'dan', 'gibran', 'adalah', 'bukti', 'solidaritas', 'untuk', 'membangun', 'jakarta', 'yang', 'lebih', 'baik']","['dukungan', 'masyarakat', 'dki', 'prabowo', 'gibran', 'bukti', 'solidaritas', 'membangun', 'jakarta', 'lebih', 'baik']","['dukung', 'masyarakat', 'dki', 'prabowo', 'gibran', 'bukti', 'solidaritas', 'bangun', 'jakarta', 'lebih', 'baik']",dukung masyarakat dki prabowo gibran bukti solidaritas bangun jakarta lebih baik,positif
Ganjar selalu ada di tengah-tengah masyarakat  bukan hanya muncul saat kampanye seperti Gibran. @Okkynovo  https://t.co/iuTB9lhk3v,ganjar selalu ada di tengahtengah masyarakat bukan hanya muncul saat kampanye seperti gibran,"['ganjar', 'selalu', 'ada', 'di', 'tengahtengah', 'masyarakat', 'bukan', 'hanya', 'muncul', 'saat', 'kampanye', 'seperti', 'gibran']","['ganjar', 'selalu', 'tengahtengah', 'masyarakat', 'bukan', 'muncul', 'kampanye', 'gibran']","['ganjar', 'selalu', 'tengahtengah', 'masyarakat', 'bukan', 'muncul', 'kampanye', 'gibran']",ganjar selalu tengahtengah masyarakat bukan muncul kampanye gibran,negatif
Masyarakat bersatu dalam tekad untuk mendukung Prabowo dan Gibran  percaya bahwa mereka adalah kunci untuk mengukir sejarah positif di ibu kota. @ovltinetrvis  https://t.co/zX4NONMDOS,masyarakat bersatu dalam tekad untuk mendukung prabowo dan gibran percaya bahwa mereka adalah kunci untuk mengukir sejarah positif di ibu kota,"['masyarakat', 'bersatu', 'dalam', 'tekad', 'untuk', 'mendukung', 'prabowo', 'dan', 'gibran', 'percaya', 'bahwa', 'mereka', 'adalah', 'kunci', 'untuk', 'mengukir', 'sejarah', 'positif', 'di', 'ibu', 'kota']","['masyarakat', 'bersatu', 'tekad', 'mendukung', 'prabowo', 'gibran', 'percaya', 'kunci', 'mengukir', 'sejarah', 'positif', 'ibu', 'kota']","['masyarakat', 'satu', 'tekad', 'dukung', 'prabowo', 'gibran', 'percaya', 'kunci', 'ukir', 'sejarah', 'positif', 'ibu', 'kota']",masyarakat satu tekad dukung prabowo gibran percaya kunci ukir sejarah positif ibu kota,positif
Kedekatan Prabowo-Gibran mencerminkan persatuan yang sangat dihargai oleh masyarakat Jateng. @muskababi  https://t.co/ayabGjIq0R,kedekatan prabowogibran mencerminkan persatuan yang sangat dihargai oleh masyarakat jateng,"['kedekatan', 'prabowogibran', 'mencerminkan', 'persatuan', 'yang', 'sangat', 'dihargai', 'oleh', 'masyarakat', 'jateng']","['kedekatan', 'prabowogibran', 'mencerminkan', 'persatuan', 'sangat', 'dihargai', 'masyarakat', 'jateng']","['dekat', 'prabowogibran', 'cermin', 'satu', 'sangat', 'harga', 'masyarakat', 'jateng']",dekat prabowogibran cermin satu sangat harga masyarakat jateng,positif
Warga Jatim melihat Prabowo-Gibran sebagai pemimpin yang lebih dekat dan responsif terhadap aspirasi masyarakat setempat. @ikaputrisolicha  https://t.co/x9RU1lxkL5,warga jatim melihat prabowogibran sebagai pemimpin yang lebih dekat dan responsif terhadap aspirasi masyarakat setempat,"['warga', 'jatim', 'melihat', 'prabowogibran', 'sebagai', 'pemimpin', 'yang', 'lebih', 'dekat', 'dan', 'responsif', 'terhadap', 'aspirasi', 'masyarakat', 'setempat']","['warga', 'jatim', 'melihat', 'prabowogibran', 'pemimpin', 'lebih', 'dekat', 'responsif', 'aspirasi', 'masyarakat', 'setempat']","['warga', 'jatim', 'lihat', 'prabowogibran', 'pimpin', 'lebih', 'dekat', 'responsif', 'aspirasi', 'masyarakat', 'tempat']",warga jatim lihat prabowogibran pimpin lebih dekat responsif aspirasi masyarakat tempat,positif
Ganjar tidak pernah membuat kesalahan yang merugikan masyarakat  sebaliknya  Gibran terlalu sering membuat blunder yang mengundang kritik @lasciviouscorpy  https://t.co/st6mowhpL2,ganjar tidak pernah membuat kesalahan yang merugikan masyarakat sebaliknya gibran terlalu sering membuat blunder yang mengundang kritik,"['ganjar', 'tidak', 'pernah', 'membuat', 'kesalahan', 'yang', 'merugikan', 'masyarakat', 'sebaliknya', 'gibran', 'terlalu', 'sering', 'membuat', 'blunder', 'yang', 'mengundang', 'kritik']","['ganjar', 'pernah', 'membuat', 'kesalahan', 'merugikan', 'masyarakat', 'sebaliknya', 'gibran', 'terlalu', 'sering', 'membuat', 'blunder', 'mengundang', 'kritik']","['ganjar', 'pernah', 'buat', 'salah', 'rugi', 'masyarakat', 'balik', 'gibran', 'terlalu', 'sering', 'buat', 'blunder', 'undang', 'kritik']",ganjar pernah buat salah rugi masyarakat balik gibran terlalu sering buat blunder undang kritik,negatif
Dorongan positif dari mantan kepala desa di Kota/Kabupaten Cirebon untuk Prabowo-Gibran. https://t.co/KPBnxtBdsg,dorongan positif dari mantan kepala desa di kotakabupaten cirebon untuk prabowogibran,"['dorongan', 'positif', 'dari', 'mantan', 'kepala', 'desa', 'di', 'kotakabupaten', 'cirebon', 'untuk', 'prabowogibran']","['dorongan', 'positif', 'mantan', 'kepala', 'desa', 'kotakabupaten', 'cirebon', 'prabowogibran']","['dorong', 'positif', 'mantan', 'kepala', 'desa', 'kotakabupaten', 'cirebon', 'prabowogibran']",dorong positif mantan kepala desa kotakabupaten cirebon prabowogibran,positif
"Arti karunia"" dalam nama Gibran menjadi dasar keyakinan bahwa kepemimpinan ini akan membawa berkah bagi masyarakat Jakarta. @peachesyh0  https://t.co/9NGVZAV3P4""",arti karunia dalam nama gibran menjadi dasar keyakinan bahwa kepemimpinan ini akan membawa berkah bagi masyarakat jakarta,"['arti', 'karunia', 'dalam', 'nama', 'gibran', 'menjadi', 'dasar', 'keyakinan', 'bahwa', 'kepemimpinan', 'ini', 'akan', 'membawa', 'berkah', 'bagi', 'masyarakat', 'jakarta']","['arti', 'karunia', 'nama', 'gibran', 'menjadi', 'dasar', 'keyakinan', 'kepemimpinan', 'membawa', 'berkah', 'masyarakat', 'jakarta']","['arti', 'karunia', 'nama', 'gibran', 'jadi', 'dasar', 'yakin', 'pimpin', 'bawa', 'berkah', 'masyarakat', 'jakarta']",arti karunia nama gibran jadi dasar yakin pimpin bawa berkah masyarakat jakarta,positif
Mantan Kepala Desa bersatu padu: Prabowo-Gibran pilihan kami untuk membawa perubahan positif https://t.co/2EZmklttYJ,mantan kepala desa bersatu padu prabowogibran pilihan kami untuk membawa perubahan positif,"['mantan', 'kepala', 'desa', 'bersatu', 'padu', 'prabowogibran', 'pilihan', 'kami', 'untuk', 'membawa', 'perubahan', 'positif']","['mantan', 'kepala', 'desa', 'bersatu', 'padu', 'prabowogibran', 'pilihan', 'membawa', 'perubahan', 'positif']","['mantan', 'kepala', 'desa', 'satu', 'padu', 'prabowogibran', 'pilih', 'bawa', 'ubah', 'positif']",mantan kepala desa satu padu prabowogibran pilih bawa ubah positif,positif
[PILIHAN BEDA BOLEH  YANG PENTING RUKUN]  Cawapres Koalisi Indonesia Maju  #Gibran Rakabuming Raka menghadiri deklarasi dukungan buruh pelabuhan di Rusun Cilincing  Jakarta Utara  Sabtu  9 Desember 2023.   #gibranrakabuming #deklarasiburuhpelabuhan #koalisindonesiamaju #promedia https://t.co/QKozkCfM9g,pilihan beda boleh yang penting rukun cawapres koalisi indonesia maju rakabuming raka menghadiri deklarasi dukungan buruh pelabuhan di rusun cilincing jakarta utara sabtu desember,"['pilihan', 'beda', 'boleh', 'yang', 'penting', 'rukun', 'cawapres', 'koalisi', 'indonesia', 'maju', 'rakabuming', 'raka', 'menghadiri', 'deklarasi', 'dukungan', 'buruh', 'pelabuhan', 'di', 'rusun', 'cilincing', 'jakarta', 'utara', 'sabtu', 'desember']","['pilihan', 'beda', 'penting', 'rukun', 'cawapres', 'koalisi', 'indonesia', 'maju', 'rakabuming', 'raka', 'menghadiri', 'deklarasi', 'dukungan', 'buruh', 'pelabuhan', 'rusun', 'cilincing', 'jakarta', 'utara', 'sabtu', 'desember']","['pilih', 'beda', 'penting', 'rukun', 'cawapres', 'koalisi', 'indonesia', 'maju', 'rakabuming', 'raka', 'hadir', 'deklarasi', 'dukung', 'buruh', 'labuh', 'rusun', 'cilincing', 'jakarta', 'utara', 'sabtu', 'desember']",pilih beda penting rukun cawapres koalisi indonesia maju rakabuming raka hadir deklarasi dukung buruh labuh rusun cilincing jakarta utara sabtu desember,positif
Dukungan tanpa batas dari mantan kepala desa di Kota/Kabupaten Cirebon untuk Prabowo-Gibran. https://t.co/mFpSSmipbb,dukungan tanpa batas dari mantan kepala desa di kotakabupaten cirebon untuk prabowogibran,"['dukungan', 'tanpa', 'batas', 'dari', 'mantan', 'kepala', 'desa', 'di', 'kotakabupaten', 'cirebon', 'untuk', 'prabowogibran']","['dukungan', 'batas', 'mantan', 'kepala', 'desa', 'kotakabupaten', 'cirebon', 'prabowogibran']","['dukung', 'batas', 'mantan', 'kepala', 'desa', 'kotakabupaten', 'cirebon', 'prabowogibran']",dukung batas mantan kepala desa kotakabupaten cirebon prabowogibran,positif
Suara bulat mantan kades menghadirkan harapan baru  membantu Prabowo-Gibran merancang masa depan positif https://t.co/HrNeXAqkFp,suara bulat mantan kades menghadirkan harapan baru membantu prabowogibran merancang masa depan positif,"['suara', 'bulat', 'mantan', 'kades', 'menghadirkan', 'harapan', 'baru', 'membantu', 'prabowogibran', 'merancang', 'masa', 'depan', 'positif']","['suara', 'bulat', 'mantan', 'kades', 'menghadirkan', 'harapan', 'baru', 'membantu', 'prabowogibran', 'merancang', 'masa', 'depan', 'positif']","['suara', 'bulat', 'mantan', 'kades', 'hadir', 'harap', 'baru', 'bantu', 'prabowogibran', 'rancang', 'masa', 'depan', 'positif']",suara bulat mantan kades hadir harap baru bantu prabowogibran rancang masa depan positif,positif
"Kepercayaan masyarakat terhadap Prabowo dan Gibran sejalan dengan makna karunia"" yang tersemat dalam nama Gibran. @rnaldyak  https://t.co/EQZ4SKhjom""",kepercayaan masyarakat terhadap prabowo dan gibran sejalan dengan makna karunia yang tersemat dalam nama gibran,"['kepercayaan', 'masyarakat', 'terhadap', 'prabowo', 'dan', 'gibran', 'sejalan', 'dengan', 'makna', 'karunia', 'yang', 'tersemat', 'dalam', 'nama', 'gibran']","['kepercayaan', 'masyarakat', 'prabowo', 'gibran', 'sejalan', 'makna', 'karunia', 'tersemat', 'nama', 'gibran']","['percaya', 'masyarakat', 'prabowo', 'gibran', 'jalan', 'makna', 'karunia', 'semat', 'nama', 'gibran']",percaya masyarakat prabowo gibran jalan makna karunia semat nama gibran,positif
Dukungan positif dari mantan pemimpin desa untuk visi Prabowo-Gibran. https://t.co/PXeWe8uA5g,dukungan positif dari mantan pemimpin desa untuk visi prabowogibran,"['dukungan', 'positif', 'dari', 'mantan', 'pemimpin', 'desa', 'untuk', 'visi', 'prabowogibran']","['dukungan', 'positif', 'mantan', 'pemimpin', 'desa', 'visi', 'prabowogibran']","['dukung', 'positif', 'mantan', 'pimpin', 'desa', 'visi', 'prabowogibran']",dukung positif mantan pimpin desa visi prabowogibran,positif
Mantan Kepala Desa bersatu dalam keyakinan positif: Prabowo-Gibran membawa harapan perubahan yang baik. https://t.co/PoGMyzPeEv,mantan kepala desa bersatu dalam keyakinan positif prabowogibran membawa harapan perubahan yang baik,"['mantan', 'kepala', 'desa', 'bersatu', 'dalam', 'keyakinan', 'positif', 'prabowogibran', 'membawa', 'harapan', 'perubahan', 'yang', 'baik']","['mantan', 'kepala', 'desa', 'bersatu', 'keyakinan', 'positif', 'prabowogibran', 'membawa', 'harapan', 'perubahan', 'baik']","['mantan', 'kepala', 'desa', 'satu', 'yakin', 'positif', 'prabowogibran', 'bawa', 'harap', 'ubah', 'baik']",mantan kepala desa satu yakin positif prabowogibran bawa harap ubah baik,positif
Prabowo dan Gibran dianggap sebagai garda terdepan dalam memperkuat resiliensi masyarakat di tengah tantangan global. @masde_jwn  https://t.co/up1BLVWz9p,prabowo dan gibran dianggap sebagai garda terdepan dalam memperkuat resiliensi masyarakat di tengah tantangan global,"['prabowo', 'dan', 'gibran', 'dianggap', 'sebagai', 'garda', 'terdepan', 'dalam', 'memperkuat', 'resiliensi', 'masyarakat', 'di', 'tengah', 'tantangan', 'global']","['prabowo', 'gibran', 'dianggap', 'garda', 'terdepan', 'memperkuat', 'resiliensi', 'masyarakat', 'tengah', 'tantangan', 'global']","['prabowo', 'gibran', 'anggap', 'garda', 'depan', 'kuat', 'resiliensi', 'masyarakat', 'tengah', 'tantang', 'global']",prabowo gibran anggap garda depan kuat resiliensi masyarakat tengah tantang global,positif
Mantan Kepala Desa yakin  bersama Prabowo-Gibran  kita bisa wujudkan perubahan positif. https://t.co/HCGMOO5hZt,mantan kepala desa yakin bersama prabowogibran kita bisa wujudkan perubahan positif,"['mantan', 'kepala', 'desa', 'yakin', 'bersama', 'prabowogibran', 'kita', 'bisa', 'wujudkan', 'perubahan', 'positif']","['mantan', 'kepala', 'desa', 'yakin', 'bersama', 'prabowogibran', 'wujudkan', 'perubahan', 'positif']","['mantan', 'kepala', 'desa', 'yakin', 'sama', 'prabowogibran', 'wujud', 'ubah', 'positif']",mantan kepala desa yakin sama prabowogibran wujud ubah positif,positif
Dukungan positif mantan pemimpin desa untuk Prabowo-Gibran: Bersama kita raih perubahan yang lebih baik. https://t.co/w4SzXM7WcR,dukungan positif mantan pemimpin desa untuk prabowogibran bersama kita raih perubahan yang lebih baik,"['dukungan', 'positif', 'mantan', 'pemimpin', 'desa', 'untuk', 'prabowogibran', 'bersama', 'kita', 'raih', 'perubahan', 'yang', 'lebih', 'baik']","['dukungan', 'positif', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'bersama', 'raih', 'perubahan', 'lebih', 'baik']","['dukung', 'positif', 'mantan', 'pimpin', 'desa', 'prabowogibran', 'sama', 'raih', 'ubah', 'lebih', 'baik']",dukung positif mantan pimpin desa prabowogibran sama raih ubah lebih baik,positif
Masyarakat Jateng mengapresiasi visi Prabowo-Gibran yang memprioritaskan persatuan dan keberagaman. @mengunyahlangit  https://t.co/1ML0AhfXfw,masyarakat jateng mengapresiasi visi prabowogibran yang memprioritaskan persatuan dan keberagaman,"['masyarakat', 'jateng', 'mengapresiasi', 'visi', 'prabowogibran', 'yang', 'memprioritaskan', 'persatuan', 'dan', 'keberagaman']","['masyarakat', 'jateng', 'mengapresiasi', 'visi', 'prabowogibran', 'memprioritaskan', 'persatuan', 'keberagaman']","['masyarakat', 'jateng', 'apresiasi', 'visi', 'prabowogibran', 'prioritas', 'satu', 'agam']",masyarakat jateng apresiasi visi prabowogibran prioritas satu agam,positif
Suara bulat ratusan mantan kades  menetapkan fondasi kokoh dukungan untuk Prabowo-Gibran di Pilpres 2024 https://t.co/BguBCQjDi7,suara bulat ratusan mantan kades menetapkan fondasi kokoh dukungan untuk prabowogibran di pilpres,"['suara', 'bulat', 'ratusan', 'mantan', 'kades', 'menetapkan', 'fondasi', 'kokoh', 'dukungan', 'untuk', 'prabowogibran', 'di', 'pilpres']","['suara', 'bulat', 'ratusan', 'mantan', 'kades', 'menetapkan', 'fondasi', 'kokoh', 'dukungan', 'prabowogibran', 'pilpres']","['suara', 'bulat', 'ratus', 'mantan', 'kades', 'tetap', 'fondasi', 'kokoh', 'dukung', 'prabowogibran', 'pilpres']",suara bulat ratus mantan kades tetap fondasi kokoh dukung prabowogibran pilpres,positif
Warga Jawa Barat yakin  Ganjar adalah pemimpin yang peduli dan mengerti kebutuhan rakyat. Tidak seperti Gibran yang terus mencari sensasi tanpa memberikan kontribusi nyata untuk kesejahteraan masyarakat. @kogituergosum https://t.co/s3Yhr61flR,warga jawa barat yakin ganjar adalah pemimpin yang peduli dan mengerti kebutuhan rakyat tidak seperti gibran yang terus mencari sensasi tanpa memberikan kontribusi nyata untuk kesejahteraan masyarakat,"['warga', 'jawa', 'barat', 'yakin', 'ganjar', 'adalah', 'pemimpin', 'yang', 'peduli', 'dan', 'mengerti', 'kebutuhan', 'rakyat', 'tidak', 'seperti', 'gibran', 'yang', 'terus', 'mencari', 'sensasi', 'tanpa', 'memberikan', 'kontribusi', 'nyata', 'untuk', 'kesejahteraan', 'masyarakat']","['warga', 'jawa', 'barat', 'yakin', 'ganjar', 'pemimpin', 'peduli', 'mengerti', 'kebutuhan', 'rakyat', 'gibran', 'terus', 'mencari', 'sensasi', 'memberikan', 'kontribusi', 'nyata', 'kesejahteraan', 'masyarakat']","['warga', 'jawa', 'barat', 'yakin', 'ganjar', 'pimpin', 'peduli', 'erti', 'butuh', 'rakyat', 'gibran', 'terus', 'cari', 'sensasi', 'beri', 'kontribusi', 'nyata', 'sejahtera', 'masyarakat']",warga jawa barat yakin ganjar pimpin peduli erti butuh rakyat gibran terus cari sensasi beri kontribusi nyata sejahtera masyarakat,negatif
Sebagai wujud jibrān  dukungan masyarakat adalah bentuk penghargaan kepada Prabowo dan Gibran sebagai pemimpin yang diharapkan. @Lyyaaaaa3  https://t.co/1ML0AhfXfw,sebagai wujud jibrn dukungan masyarakat adalah bentuk penghargaan kepada prabowo dan gibran sebagai pemimpin yang diharapkan,"['sebagai', 'wujud', 'jibrn', 'dukungan', 'masyarakat', 'adalah', 'bentuk', 'penghargaan', 'kepada', 'prabowo', 'dan', 'gibran', 'sebagai', 'pemimpin', 'yang', 'diharapkan']","['wujud', 'jibrn', 'dukungan', 'masyarakat', 'bentuk', 'penghargaan', 'prabowo', 'gibran', 'pemimpin', 'diharapkan']","['wujud', 'jibrn', 'dukung', 'masyarakat', 'bentuk', 'harga', 'prabowo', 'gibran', 'pimpin', 'harap']",wujud jibrn dukung masyarakat bentuk harga prabowo gibran pimpin harap,positif
Di mata warga Jabar  Ganjar adalah figur yang memiliki kepedulian besar terhadap kesejahteraan masyarakat  sebaliknya Gibran lebih suka mencari kontroversi tanpa memberikan solusi konkret. @luviourri https://t.co/QjgsK2C3Y0,di mata warga jabar ganjar adalah figur yang memiliki kepedulian besar terhadap kesejahteraan masyarakat sebaliknya gibran lebih suka mencari kontroversi tanpa memberikan solusi konkret,"['di', 'mata', 'warga', 'jabar', 'ganjar', 'adalah', 'figur', 'yang', 'memiliki', 'kepedulian', 'besar', 'terhadap', 'kesejahteraan', 'masyarakat', 'sebaliknya', 'gibran', 'lebih', 'suka', 'mencari', 'kontroversi', 'tanpa', 'memberikan', 'solusi', 'konkret']","['mata', 'warga', 'jabar', 'ganjar', 'figur', 'memiliki', 'kepedulian', 'besar', 'kesejahteraan', 'masyarakat', 'sebaliknya', 'gibran', 'lebih', 'suka', 'mencari', 'kontroversi', 'memberikan', 'solusi', 'konkret']","['mata', 'warga', 'jabar', 'ganjar', 'figur', 'milik', 'peduli', 'besar', 'sejahtera', 'masyarakat', 'balik', 'gibran', 'lebih', 'suka', 'cari', 'kontroversi', 'beri', 'solusi', 'konkret']",mata warga jabar ganjar figur milik peduli besar sejahtera masyarakat balik gibran lebih suka cari kontroversi beri solusi konkret,negatif
Ganjar menunjukkan komitmen yang kuat terhadap kemajuan bangsa  sebaliknya  Gibran terkesan hanya mencari perhatian dengan blunder-blunder kampanyenya yang kurang matang. @wibujasun  https://t.co/rNqs39s0U2,ganjar menunjukkan komitmen yang kuat terhadap kemajuan bangsa sebaliknya gibran terkesan hanya mencari perhatian dengan blunderblunder kampanyenya yang kurang matang,"['ganjar', 'menunjukkan', 'komitmen', 'yang', 'kuat', 'terhadap', 'kemajuan', 'bangsa', 'sebaliknya', 'gibran', 'terkesan', 'hanya', 'mencari', 'perhatian', 'dengan', 'blunderblunder', 'kampanyenya', 'yang', 'kurang', 'matang']","['ganjar', 'menunjukkan', 'komitmen', 'kuat', 'kemajuan', 'bangsa', 'sebaliknya', 'gibran', 'terkesan', 'mencari', 'perhatian', 'blunderblunder', 'kampanyenya', 'kurang', 'matang']","['ganjar', 'tunjuk', 'komitmen', 'kuat', 'maju', 'bangsa', 'balik', 'gibran', 'kes', 'cari', 'perhati', 'blunderblunder', 'kampanye', 'kurang', 'matang']",ganjar tunjuk komitmen kuat maju bangsa balik gibran kes cari perhati blunderblunder kampanye kurang matang,negatif
Ganjar adalah pemimpin yang mencerminkan nilai-nilai kejujuran dan integritas  sementara Gibran terus membuat blunder yang merugikan dirinya sendiri. Warga Jabar memilih pemimpin yang dapat dipercaya. @souvereigs https://t.co/lJ2Wr3H0bT,ganjar adalah pemimpin yang mencerminkan nilainilai kejujuran dan integritas sementara gibran terus membuat blunder yang merugikan dirinya sendiri warga jabar memilih pemimpin yang dapat dipercaya,"['ganjar', 'adalah', 'pemimpin', 'yang', 'mencerminkan', 'nilainilai', 'kejujuran', 'dan', 'integritas', 'sementara', 'gibran', 'terus', 'membuat', 'blunder', 'yang', 'merugikan', 'dirinya', 'sendiri', 'warga', 'jabar', 'memilih', 'pemimpin', 'yang', 'dapat', 'dipercaya']","['ganjar', 'pemimpin', 'mencerminkan', 'nilainilai', 'kejujuran', 'integritas', 'gibran', 'terus', 'membuat', 'blunder', 'merugikan', 'dirinya', 'sendiri', 'warga', 'jabar', 'memilih', 'pemimpin', 'dipercaya']","['ganjar', 'pimpin', 'cermin', 'nilainilai', 'jujur', 'integritas', 'gibran', 'terus', 'buat', 'blunder', 'rugi', 'diri', 'sendiri', 'warga', 'jabar', 'pilih', 'pimpin', 'percaya']",ganjar pimpin cermin nilainilai jujur integritas gibran terus buat blunder rugi diri sendiri warga jabar pilih pimpin percaya,negatif
Ganjar ga bikin malu  ga kayak Gibran yang blunder berkali-kali dalam kampanye. @tancjiro  https://t.co/Zc4vpofyKC,ganjar ga bikin malu ga kayak gibran yang blunder berkalikali dalam kampanye,"['ganjar', 'ga', 'bikin', 'malu', 'ga', 'kayak', 'gibran', 'yang', 'blunder', 'berkalikali', 'dalam', 'kampanye']","['ganjar', 'ga', 'bikin', 'malu', 'ga', 'kayak', 'gibran', 'blunder', 'berkalikali', 'kampanye']","['ganjar', 'ga', 'bikin', 'malu', 'ga', 'kayak', 'gibran', 'blunder', 'berkalikali', 'kampanye']",ganjar ga bikin malu ga kayak gibran blunder berkalikali kampanye,negatif
Ganjar tidak hanya berbicara  tapi juga bertindak. Berbeda dengan Gibran yang lebih sering membuat blunder dan tidak memberikan solusi nyata. @vrgiawn  https://t.co/hx9JKhvkYv,ganjar tidak hanya berbicara tapi juga bertindak berbeda dengan gibran yang lebih sering membuat blunder dan tidak memberikan solusi nyata,"['ganjar', 'tidak', 'hanya', 'berbicara', 'tapi', 'juga', 'bertindak', 'berbeda', 'dengan', 'gibran', 'yang', 'lebih', 'sering', 'membuat', 'blunder', 'dan', 'tidak', 'memberikan', 'solusi', 'nyata']","['ganjar', 'berbicara', 'bertindak', 'berbeda', 'gibran', 'lebih', 'sering', 'membuat', 'blunder', 'memberikan', 'solusi', 'nyata']","['ganjar', 'bicara', 'tindak', 'beda', 'gibran', 'lebih', 'sering', 'buat', 'blunder', 'beri', 'solusi', 'nyata']",ganjar bicara tindak beda gibran lebih sering buat blunder beri solusi nyata,negatif
